Value,Count,class,class_2006,class_2010,mapped_med,mapped_min,mapped_max,mapped_ci,estima_med,estima_min,estima_max,estima_ci,total_med,total_min,total_max,total_ci,soil_med,soil_min,soil_max,soil_ci,bmass_med,bmass_min,bmass_max,bmass_ci,ch4_med,ch4_min,ch4_max,ch4_ci
39,3,High Intensity Developed to Palustrine Scrub/Shrub Wetland,High Intensity Developed,Palustrine Scrub/Shrub Wetland,2,1,2,1,2.611909976,1.277456178,3.101009919,1.334453798,0.874045304,0.249552375,2.069706671,1.820154295,0.250701925,0.201037955,0.311142312,0.110104357,0.923596375,0.402435632,2.138336313,1.735900681,-0.282936554,-0.688383662,-0.115942154,0.572441508
40,19,High Intensity Developed to Palustrine Emergent Wetland,High Intensity Developed,Palustrine Emergent Wetland,13,12,15,3,20.94056117,17.6310558,24.71805124,3.30950537,0.125728666,-0.321011429,0.323803482,0.644814911,0.278090442,0.222655242,0.348297716,0.125642474,0.162032108,0.142232896,0.184572448,0.042339552,-0.315202912,-0.766932236,-0.129964583,0.636967653
41,3,High Intensity Developed to Estuarine Forested Wetland,High Intensity Developed,Estuarine Forested Wetland,3,3,3,0,3.907035651,3.356610011,4.333649886,0.55042564,9.130717762,7.184912666,11.55268852,4.367775857,0.230919314,0.18296341,0.288570337,0.105606926,9.065147009,7.128011206,11.48011601,4.352104809,-0.168484212,-0.285041523,-0.055610862,0.229430662
42,1,High Intensity Developed to Estuarine Scrub/Shrub Wetland,High Intensity Developed,Estuarine Scrub/Shrub Wetland,1,1,1,0,1.109796008,0.81284231,1.533696218,0.296953698,0.789332059,0.342010596,1.85417392,1.512163323,0.19839699,0.137761561,0.287731137,0.149969576,0.73095074,0.303457625,1.784197294,1.48073967,-0.143272869,-0.271112324,-0.046837589,0.224274735
43,363,High Intensity Developed to Estuarine Emergent Wetland,High Intensity Developed,Estuarine Emergent Wetland,363,363,363,0,482.9077249,434.2681539,538.414299,48.63957096,0.203006937,0.076939344,0.332537524,0.255598179,0.237189505,0.191284374,0.295088067,0.103803693,0.138221625,0.122683539,0.155478268,0.03279473,-0.174107163,-0.292851274,-0.056983797,0.235867477
63,5,Medium Intensity Developed to Palustrine Forested Wetland,Medium Intensity Developed,Palustrine Forested Wetland,2,1,3,2,2.78238022,1.404400167,4.341283583,1.377980053,9.410331294,7.546473581,11.83479946,4.288325876,0.241512738,0.196875288,0.297028722,0.100153434,9.473478224,7.636005644,11.88152101,4.245515362,-0.273417424,-0.664253901,-0.112624018,0.551629884
64,22,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland,Medium Intensity Developed,Palustrine Scrub/Shrub Wetland,11,9,13,4,15.01507296,11.86857717,18.44501135,3.146495782,0.874045304,0.249552375,2.069706671,1.820154295,0.250701925,0.201037955,0.311142312,0.110104357,0.923596375,0.402435632,2.138336313,1.735900681,-0.282936554,-0.688383662,-0.115942154,0.572441508
65,72,Medium Intensity Developed to Palustrine Emergent Wetland,Medium Intensity Developed,Palustrine Emergent Wetland,44,40,48,8,68.88379426,59.08380814,80.27484305,9.799986116,0.125728666,-0.321011429,0.323803482,0.644814911,0.278090442,0.222655242,0.348297716,0.125642474,0.162032108,0.142232896,0.184572448,0.042339552,-0.315202912,-0.766932236,-0.129964583,0.636967653
66,1,Medium Intensity Developed to Estuarine Forested Wetland,Medium Intensity Developed,Estuarine Forested Wetland,1,1,1,0,1.302345217,1.118870004,1.444549962,0.183475213,9.130717762,7.184912666,11.55268852,4.367775857,0.230919314,0.18296341,0.288570337,0.105606926,9.065147009,7.128011206,11.48011601,4.352104809,-0.168484212,-0.285041523,-0.055610862,0.229430662
67,3,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland,Medium Intensity Developed,Estuarine Scrub/Shrub Wetland,3,3,3,0,3.329388024,2.438526929,4.601088653,0.890861095,0.789332059,0.342010596,1.85417392,1.512163323,0.19839699,0.137761561,0.287731137,0.149969576,0.73095074,0.303457625,1.784197294,1.48073967,-0.143272869,-0.271112324,-0.046837589,0.224274735
68,529,Medium Intensity Developed to Estuarine Emergent Wetland,Medium Intensity Developed,Estuarine Emergent Wetland,529,529,529,0,703.7415605,632.8591004,784.6313063,70.88246017,0.203006937,0.076939344,0.332537524,0.255598179,0.237189505,0.191284374,0.295088067,0.103803693,0.138221625,0.122683539,0.155478268,0.03279473,-0.174107163,-0.292851274,-0.056983797,0.235867477
88,100,Low Intensity Developed to Palustrine Forested Wetland,Low Intensity Developed,Palustrine Forested Wetland,65,61,70,9,88.34909652,79.34199464,98.51160607,9.007101879,9.410331294,7.546473581,11.83479946,4.288325876,0.241512738,0.196875288,0.297028722,0.100153434,9.473478224,7.636005644,11.88152101,4.245515362,-0.273417424,-0.664253901,-0.112624018,0.551629884
89,117,Low Intensity Developed to Palustrine Scrub/Shrub Wetland,Low Intensity Developed,Palustrine Scrub/Shrub Wetland,54,47,60,13,75.21315335,63.55620373,88.32437452,11.65694962,0.874045304,0.249552375,2.069706671,1.820154295,0.250701925,0.201037955,0.311142312,0.110104357,0.923596375,0.402435632,2.138336313,1.735900681,-0.282936554,-0.688383662,-0.115942154,0.572441508
90,274,Low Intensity Developed to Palustrine Emergent Wetland,Low Intensity Developed,Palustrine Emergent Wetland,160,151,168,17,248.7470847,218.0323324,284.0728175,30.71475231,0.125728666,-0.321011429,0.323803482,0.644814911,0.278090442,0.222655242,0.348297716,0.125642474,0.162032108,0.142232896,0.184572448,0.042339552,-0.315202912,-0.766932236,-0.129964583,0.636967653
91,5,Low Intensity Developed to Estuarine Forested Wetland,Low Intensity Developed,Estuarine Forested Wetland,5,5,5,0,6.511726085,5.594350018,7.222749811,0.917376067,9.130717762,7.184912666,11.55268852,4.367775857,0.230919314,0.18296341,0.288570337,0.105606926,9.065147009,7.128011206,11.48011601,4.352104809,-0.168484212,-0.285041523,-0.055610862,0.229430662
92,21,Low Intensity Developed to Estuarine Scrub/Shrub Wetland,Low Intensity Developed,Estuarine Scrub/Shrub Wetland,21,21,21,0,23.30571617,17.0696885,32.20762057,6.236027665,0.789332059,0.342010596,1.85417392,1.512163323,0.19839699,0.137761561,0.287731137,0.149969576,0.73095074,0.303457625,1.784197294,1.48073967,-0.143272869,-0.271112324,-0.046837589,0.224274735
93,979,Low Intensity Developed to Estuarine Emergent Wetland,Low Intensity Developed,Estuarine Emergent Wetland,979,979,979,0,1302.3875,1171.208052,1452.087049,131.179449,0.203006937,0.076939344,0.332537524,0.255598179,0.237189505,0.191284374,0.295088067,0.103803693,0.138221625,0.122683539,0.155478268,0.03279473,-0.174107163,-0.292851274,-0.056983797,0.235867477
113,161,Developed Open Space to Palustrine Forested Wetland,Developed Open Space,Palustrine Forested Wetland,71,64,78,14,96.84648067,84.61014023,109.9097124,12.23634044,9.410331294,7.546473581,11.83479946,4.288325876,0.241512738,0.196875288,0.297028722,0.100153434,9.473478224,7.636005644,11.88152101,4.245515362,-0.273417424,-0.664253901,-0.112624018,0.551629884
114,248,Developed Open Space to Palustrine Scrub/Shrub Wetland,Developed Open Space,Palustrine Scrub/Shrub Wetland,134,126,142,16,188.3189883,164.078009,213.5617793,24.24097932,0.874045304,0.249552375,2.069706671,1.820154295,0.250701925,0.201037955,0.311142312,0.110104357,0.923596375,0.402435632,2.138336313,1.735900681,-0.282936554,-0.688383662,-0.115942154,0.572441508
115,246,Developed Open Space to Palustrine Emergent Wetland,Developed Open Space,Palustrine Emergent Wetland,122,112,132,20,189.6437148,164.0318246,218.6691746,25.61189022,0.125728666,-0.321011429,0.323803482,0.644814911,0.278090442,0.222655242,0.348297716,0.125642474,0.162032108,0.142232896,0.184572448,0.042339552,-0.315202912,-0.766932236,-0.129964583,0.636967653
116,5,Developed Open Space to Estuarine Forested Wetland,Developed Open Space,Estuarine Forested Wetland,5,5,5,0,6.511726085,5.594350018,7.222749811,0.917376067,9.130717762,7.184912666,11.55268852,4.367775857,0.230919314,0.18296341,0.288570337,0.105606926,9.065147009,7.128011206,11.48011601,4.352104809,-0.168484212,-0.285041523,-0.055610862,0.229430662
